stt,thoigian,giaphong,dientich,vido,kinhdo,khutro,drmd,kcdc,khepkin,tiennghi,thuantien,diachi,chitiet
135,02/2021,2000000,34,21.0221743,105.8969033,"Số 18, Ngõ 353, đường Bát Khối, phường Long Biên, Quận Long Biên, Hà Nội","khu nhà có  thuận lợi, đường ngõ rộng, trước mặt là vườn cây. nhà có  24m2 san và 10m2gác xép (thoáng mát về mùa hè, ấp áp về mùa đông.rất thuận lợi cho hộ gia đình ở lâu dài : gần trường học (300m) , chợ truyền thống (400m), tttm aeon (200m)....tổng quan nhà được thiết kế phù hợp nhất cho hộ gia đình nhỏ của các bạn.....!"
136,02/2021,3500000,36,20.9887356,105.8187558,"Phường Khương Đình, Quận Thanh Xuân, Hà Nội", khép kín đầy đủ tiện nghi điều hòa bình nóng lạnh  ăn ngủ riêng biệt 2  .rường tủ quần áo tủ lạnh bếp đun nhà vệ sinh khép kín chỗ để xe mạng tốc độ cao miễn phi nhà mới xây gần phố. chợ các trường học tiện cho sinh hoạt an ninh tốt ký hợp đồng lâu dài  36m2 2  giá 3500k lh số ngách 9 ngõ 77 bùi xương trạch thanh xuân hà nội đt 0971161975
149,03/2021,750000,12,20.9508584,105.7571253,"Ba La, Phường Phú Lương, Quận Hà Đông, Hà Nội","* : nằm ở hà đông- phú lương, gần chợ xốm, cách trường tiểu học phú lương 2 50mcách nhà 30m có chợ dân sinh, trước mặt là tạp hóa, cực tiện cho sinh hoạt hàng ngày-   12-15m2có sẵn giường hoặc bạt để nằm, có sân phơi đồ, sân chung để xe máy có khóa- giá điện 2500k /số- nước chia đầu người ( khoảng 25-30k )/ 1 tháng- có wifi- giá thuê 750k/1 thángnhà   tối thiểu ít nhất 2 tháng* thông tin chi tiết lh nguyễn đức ( chính chủ )mọi người tìm trên google map : trường tiểu học phú lương 2. để xem có tiện cho việc di chuyển đi lại không nhéthân !"
143,03/2021,2500000,30,20.9959406,105.8489858,"Ngõ 35 Phố Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","gia đình có 9 căn  rộng, thoải mái địa chỉ tại ngõ 35 (ngõ lao động), đường đại la. cách mặt đường 30m, xe vào tận nơi. phù hợp cho sinh viên, gia đình. ưu tiên ở lâu dàigiá: 45-50m2: giá 4,5 triệu-5 triệu 25-28m2: giá 2,5 - 3 triệu- nóng, lạnh. vệ sinh bệt khép kín. điện, nước theo giá nhà nước.- thuận tiện: cách trường kinh tế quốc dân 500m, gần đh bách khoa hà nội, đại học xây dựng, đại học kinh tế kĩ thuật công nghiệp, đh kinh doanh công nghệ.- khu vực an ninh cao, thoáng mát.thanh toán: đặt cọc 1 tháng, thanh toán 2 tháng vào đầu kìsđt liên lạc: anh toàn: 0984 090 222 (zalo, mes hoặc call) – trung gian miễn làm phiền"
142,03/2021,4000000,35,20.9991598,105.8708461,"31/14/622 Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","  đẹp ,khép kín , sàn rộng 25,. có gác lửng cao đẹp rộng 10m, sạch sẽ , cao ráo có sân thoáng mát,có chỗ để xe rộng,sát timecity, đường vào rộng, có thể ở được hộ gia đình, hoăc làm kho và văn ,ưu tiên thuê lâu dài."
141,03/2021,3500000,45,20.9772847,105.8035306,"Số 12 ngõ 8 Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội","nhà mới xây  4 tầng. mỗi tầng 45m2 khép kín , có thang máy, đầy đủ điều hòa 2 chiều, nóng lạnh, bình năng lượng mặt trời(tiết kiệm điện khi trời nắng), internet, đèn led siêu sáng.  3.5 triệu đồng/ tháng/tầng. tại số 12 ngõ 8 kim giang, thanh xuân, hà nội, cách mặt đường kim giang 20m, (tiện kinh doanh) cách ngã tư sở 1.5km. liên hệ chính chủ: mr minh: 0904.987.889."
140,03/2021,3000000,30,20.9700439,105.7897686,"48 Đường Bạch Thái Bưởi, Phường Văn Quán, Quận Hà Đông, Hà Nội","kđt văn quán-phố bạch thái bưởi ( gần hồ văn quán, trường kiến trúc, an ninh, bệnh viện 103).-  giao thông thuận tiện,xe buýt 39 đi qua cửa nhà.- nhà  có  full nội thất giá 3tr-3.2tr.- 2  1 tầng chung 1 vệ sinh-  25-30m2,ban công thoáng mát- cạnh điểm xe bus.- full nội thất điều hòa,quạt trần, nóng lạnh, giường, tủ , phơi đồ, để xe miễn phí, camera an ninh, máy giặt- nước 80k/người/tháng- điện 3.5k/số- internet cáp quang tốc độ cao, điện nước công tơ riêng.- miễn phí chỗ để xe máy, có camera yên tâm an ninh.- chính chủ miễn môi giới"
144,03/2021,2500000,25,21.0221606,105.771796,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","  chung cư cao cấp . (dt từ 25- 35m2 , giá từ 2.tr đến 3,tr).vệ sinh khép kín . có nóng lạnh , điều hòa , có giường , tủ , quạt , rèm đầy đủ khách thuê chỉ việc xách đồ vào ở luôn. khu vực nấu ăn , ban công phơi quần áo riêng biệt thoáng mát .có thang máy , có chỗ để xe , an ninh tốt , hệ thống camera giám sát . ra vào cửa bằng vân tay . .địa chỉ : khu tân mỹ( sau svđ mỹ đình ) mỹ đình 1, nam từ liêm . lh : 0973.410.889"
148,03/2021,2300000,22,21.0601725,105.8929252,"15 ngõ 73 Đường Hoa Lâm, Phường Đức Giang, Quận Long Biên, Hà Nội","cần   rộng đẹp thoáng mát+ nhà thoáng đẹp. an ninh tốt* tiêu chuẩn:  đẹp, có điều hòa, nóng lạnh, bàn bếp và hút mùi, wifi miễn phí, giờ giấc tự do, chổ để xe an toàn.* : 22m2.* giá: 2.300.000d/ tháng.liên hệ: bác uyên - 097.812.9566địa chỉ: số 15 ngõ 73 hoa lâm, long biên, hà nội"
146,03/2021,2200000,16,20.9438782,105.8381481,"Phan Trọng Tuệ, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội","+  còn 2  ở tt.văn điển gần ubnd huyện thanh trì, 200m ra ngọc hồi.+ nội thất: giường, tủ quần áo, bàn ghế, điều hòa, nóng lạnh, máy giặt, ga, gối, đệm.+ gía  2tr2 và 2tr4.+ chỗ để xe rộng, riêng chủ, giờ giấc tự do, an ninh tốt,  nào cũng có cửa sổ đón ánh sáng."
152,03/2021,2200000,15,20.9971504,105.8216911,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"," có 1   ở khu vực ngã tư sở,+  15 m2 giá 2,2 triệu/tháng/+ tiền nước: 80k/người; điện: 4k/số khép kín, có điều hòa, bình nóng lạnh, có khu bếp, internet, sân để xe, an ninh đảm bảo, gần mặt đường, thuận tiện đi lại. ở chung chủ nên 23h khoá cửabạn nào có nhu cầu liên hệ với c. phúc: 0386486562p/s: đây là nhà , ko phải qua trung gian"
